Author Index for Volume 107


A'Hern, R 1025
Bützow, R 1761
Byzova, TV 713
Cairns, BJ 169, 527
Caldas, C 800, 1257
Cameron, D 71, 1257
Campagnutta, E 785
Campbell, C 243, 1938
Cani, PD 1337
Canon, J-L 435
Cappuzzo, F 793
Carbillon, L 1915
Card, TR 1602
Carey, FA 255
Carey, MS 1776
Carlomagno, C 626
Carlson, LE 617
Carmony, KC 53
Carpenter, LM 1159
Carreira, H 537
Carreon, JD 195
Carter, SA 739
Cartledge, J 1131
Carvalho, I 537
Carvalho, MA 977
Casado, A 1
Casey, G 1001
Cassinello, J 435
Castagnetti, F 904
Castanon, C 435
Castiglioni, V 360
Castro, C 537
Casula, G 675
Cataldo, D 1083
Catania, A 1978
Catto, JWF 123
Catton, C 840
Causer, PA 24
Cavalli-Björkman, N 189
Ceballos, K 1917
Celadin, R 1286
Cerny, T 266
Cesca, M 360
Cha, EK 1826
Chadwick, K 840
Chambers, AF 840
Chan, DSY 1925
Chan, S 814
Chang DZ 411
Chang, JW 1883
Chang-Claude, J 748, 831
Channathodiyil, P 1488
Charbonneau, V 556
Charlton, PA 291
Chatelut, E 1100
Chatterjee, N 207
Chattopadhyay, A 739
Cheang, M 800
Chen, J 1776
Chen, S 352
Chen, Y 1268
Chen, Y-C 2010
Cheng, A-L 1672
Chera, BS 482
Chéreau, E 401
Chevassut, TJ 1987
Chia, D 207
Chiap, P 1083
Chikamoto, A 1950
Chilcott, S 1384
Chin, X 1564
Cho, CY 43
Choi, CH 91
Choi, J-J 91
Chong, G 1864
Choudhury, J 1766
Choueiri, TK 1009
Christensen, E 840
Christensen, J 165, 201
Christner, SM 592
Christoph, DC 823
Chu, C-M 2010
Chu, LW 207
Chu, Z 352
Chua, J 1564
Chudzinski-Tavassi, AM 977
Chung, L 1883
Chung, MH 1624
Church, TR 207
Ciardiello, F 1791
Cimminiello, C 626
Citterio, G 37
Clarke, NW 1737
Clarke, SJ 695
Clements, A 243
Clerici, M 612
Clézardin, P 63
Cnattingus, S 544
Coan, A 1481
Coche, T 116
Coebergh, JW 549
Coebergh, JWW 12
Coffie, P 556
Cohen L 411
Cohen, O 1844
Cohen, RB 1268, 1277
Cohen-Armon, M 1317
Cohn, SL 1418
Coia, I 1083
Coldman, AJ 1917
Coleman, N 739, 1384
Coles, CE 748
Coletta, RD 977
Colevas, AD 604
Colizzi, F 1116
Collard, TJ 1514
Collin, F 639
Collins, GS 260
Collins, VP 462
Colombini, S 612
Comino, A 75
Concin, N 918
Cook, DA 1917
Cooper, CS 388
Coppens, K 1608
Coppola, D 1783
Coral, S 1116
Corchia, N 658
Corcoran, M 1384
Corcoran, NM 1467, 1564
Coriat, R 455
Corn, PG 1547
Cornain, S 772
Cornelio, GH 1075
Corradino, I 612
Correa, P 1584
Corrie, PG 585
Costello, AJ 1467, 1564
Cottone, F 904
Couch, FJ 800
Couch, ME 482
Coupland, VH 1908
Covre, A 1116
Cox, A 800
Coyle, B 1144
Craig, AJ 1310
Crawford, SM 1257
Creevey, L 967, 1203
Cristofanilli, M 1286
Crivelli, JJ 1826
Croci, S 1302
Crook, T 75, 375, 732, 1423
Crosby, TDL 1925
Cross, SS 800
Cummings, J 1518
Cunningham, D 435
Curado, MP 1608
Curpen, B 24
Cuzick, J 230
Czarnota, GJ 469
Czartoryska-Arłukowicz, B 793
Czene, K 18
D'Hondt, L 435
Dabis, F 556
Dahl, O 1684, 1833
Dal Pra, A 840
Dalla Santa, S 1116
Dalton, SO 201, 1901
Damery, S 243
Daneshmand, S 1826
Danforth, KN 1181
Daniel, F 585
Dar, NA 1618
Darai, E 401
Darb-Esfahani, S 1892
Darling, JL 1488
Dasoula, A 1423
Davidoff, AM 967, 1203
Davidson, S 748
Davies, E 404
Davies, JE 584
Dawsey, SM 888
de Bono, JS 1797
De Braud, F 1227
De Castro Carpeño, J 1277
de Castro, DG 1793
De Giovanni, C 1302
de Koning, HJ 778
De Luca, C 626
de Mol, BAJM 161
De Pascale, A 612
De Placido, S 626
de Preter, K 1409
De Stefani, E 1584
De Stefano, A 626
De Vincenzo, R 37
De Vuyst, H 1624
de Wijkerslooth, TR 1051
de Wit, R 1637
Dean, E 1518
Deans, DAC 143
Debruyne, P 1665
Decio, A 360
Dekker, E 1051
Delea, TE 1059
Dell' Anna, T 785
Delzenne, NM 1337
Deneo-Pellegrini, H 1584
Denkert, C 1892
Dennis, M 707
dePont Christensen, R 1169
Desjardins, A 1481
Desplenter, F 1644
Detours, V 994
Deutsch, E 308
Deux, B 63
Devi, BCR 1075
Dewulf, EM 1337
di Legge, A 37
Di Stefano, M 37
Diamandis, EP 1797
Diamantis, N 925
Diaz-Latoud, C 63
Diaz-Padilla, I 604
Dibb, M 1766
Dicheva, BM 1153
Dick, IM 1107
Dickinson, T 388
Dicks, E 800
Dieckmann, K 1454
Dieckmann, K-P 1754
Dietel, M 1892
Dietz, S 462
Dimopoulos, MA 1869
Dingemans, AMC 1820
Dittrich, C 280
Dive, C 1518
Dobbins, SE 1001
Dodson, A 388
Dohadwala, M 707
Doi, T 340, 429
Dolled-Filhart, M 2024
Dom, G 994
Dome, B 1978
Dorssers, LCJ 947
dos Santos Silva, I 18
Doughty, J 756, 864
Downing, A 1175
Draisma, G 778
Drayton, RM 123
Dubinett, SM 707
Dubois, L 508
Dubrovska, A 43
Duchnowska, R 793
Dudziec, E 123
Dufey, F 1188
Duhamel, A 1025
Dumez, H 1665
Dumont, JE 994
Dunn, JA 1257
Dunning, AM 748
Dyer, MJS 1423
Dyrskjøt, L 116, 1392
Earl, HM 1257
Eberhardt, WEE 823
Ebina, M 1745
Eckel, B 63
Eddy, D 469
Edrei, Y 658
Edwards, DR 143
Edwards, J 756, 856, 864, 1554
Efficace, F 904
Egerer, G 1840
Eggermont, AMM 1153
Eggert, A 1409
Egorin, MJ 592
Eguchi, K 1474
Ehlen, TG 1917
Eidtmann, H 956
Eigentler, TK 422
Einama, T 137
Eisen, A 24, 2005
Eisenbauer, M 1978
Eisner, F 1244
Ekouevi, DK 556
Elaidi, R 1665
Elashoff, D 707
ElguetaKarstegl, C 1423
Ellis, I 800
Ellis, P 158
Elliss-Brookes, L 1220
Elsaleh, H 1684
Elsässer, M 422
Elsberger, B 756, 864
Endo, C 1745
Engelhard, M 823
English, DR 1631
Eriksson, L 18
Ernst, E 405
Espinas, JA 1249
Estlander, A-M 1459
Esumi, H 340
Eustace, A 684
Evans, A 224
Evrard, B 1083
Ewertz, M 1901
Fabbri, M 1345
Fabi, A 793
Fairley, L-L 1608
Faison, T 1826
Falandry, C 598
Falk, RS 1451
Fankhauser, M 1564
Farrell, PJ 1423
Farrell, T 757
Fasching, PA 800, 956
Fassan, M 1286
Fassbender, K 931
Favier, L 598
Fay, J 967, 1203
Fear, NT 1652
Fearon, KCH 143
Fedier, A 1399
Fehm, T 956
Fentiman, IS 221
Fenu, E 925
Ferguson, MJ 1327
Fernández-Villar, A 1876
Fernando, I 1257
Feron, O 1337
Ferronha, I 537
Fielitz, K 1409
Filipits, M 1978
Finan, PJ 757
Finetti, P 1433
Fischer, M 1418
Fisher, D 1037
Fisher, R 1664
FitzGerald, LM 1776
Flatmark, K 667
Fleischer, F 280
Fleshner, N 840
Fletcher, CD 695
Fleuren, GJ 772, 1956
Fleury, H 556
Flor, I 1754
Fløtten, Ø 442
Fluge, O 1684
Fockens, P 1051
Foekens, JA 947
Foidart, J-M 1083
Folprecht, G 1044
Fombonne, J 63
Fonsatti, E 1116
Fonseca, E 435
Font, R 1249
Fontecha, M 230
Forbes, IWG 1554
Forbes, JF 230
Forman, D 1175
Forootan, SS 388
Fortunato, M 732
Fosså, SD 1833
Fossati, R 588, 785
Foster, CS 388
Foster, L 1257
Foster, NA 739
Foszczyńska-Kłoda, M 793
Foulkes, WD 800, 2005
Fradet, Y 1826
Franceschi, S 215, 1445, 1580, 1624
Franck, N 455
Francken, AB 570
Franco, EL 1917
Fraser, CG 255
Fratta, E 1116
Frederiksen, K 165
Freyer, G 598
Friedman, AH 1481
Friedman, E 2005
Friedman, HS 1399, 1481
Fritchie, K 482
Fritsche, H-M 1826
Froehlich, H 1244
Fruscio, R 785
Fujii, Y 1031
Fujiwara, S 1969
Fujiwara, T 448
Fukagawa, T 1345
Fukai, Y 31
Fukushima, R 724
Fukutomi, A 429
Fulp, J 1783
Fumoleau, P 598
Funkhouser, WK 482
Furukawa, H 137
Furuya, M 632
Fuse, N 340
Fushiya, N 988
Gabra, H 925
Gajewski, TF 1663
Gallego, S 1374
Gandini, S 1608
Gao, B 604
Garant, A 1864
Garavello, W 1580
Garay, T 1978
Garbe, C 422
Garcia Giron, C 435
Garcia, M 1249
Garcia-Closas, M 800
Garcia-Foncillas, J 287
Garg, MB 1525
Garmo, H 221
Garrett, CR 411
Garrigue, I 556
Garrone, O 75, 375, 732
Gary, T 1244
Gasser, M 847
Gatter, KC 1044
Gauler, TC 823
Gavalas, NG 1869
Gebski, V 588
Gehrmann, M 1892
Geldof, AA 1963
Gelmon, KA 800
Gencer, D 1678
Georgoulias, V 1932
Gerard, P 388
Ghadirian, P 2005
Ghaem-Maghami, S 1069
Ghanim, B 1978
Gherlinzoni, F 904
Giatromanolaki, A 1044
Giavazzi, R 360
Gibert, B 63
Gietema, JA 1637
Giles, A 469
Giles, G 800, 1631
Gil-Gil, M 1249
Gill, A 1883
Gill, I 158
Gill, MD 417
Gillett, C 221
Girard, E 1498
Gissler, M 544
Giurescu, M 808
Gleave, ME 1467
Glimelius, B 189
Gloesenkamp, C 1853
Goc, A 713
Godinho, MFE 947
Godoy, H 370
Gogna, R 516
Goguet-Surmenian, E 1944
Going, JJ 864
Gojis, O 75, 375, 732
Goktug, T 1488
Goldschneider, D 63
Goldwasser, F 455
Gologan, A 1864
Gomez, B 345
Gonin, V 63
Gonzalez de Castro, D 345
Gonzalez-Huarriz, M 287
Gorlia, T 639
Gorter, A 1956
Gosden, C 388
Gourley, C 1327
Grainge, MJ 1602
Graner, E 977
Grassi, A 1286
Grassi, R 785
Graubard, BI 195
Gray, K 143
Green, AR 800
Green, DA 1826
Green, J 527, 879
Green, S 2024
Greenberg, DC 800
Greenhough, A 1514
Greenslade, M 1220
Gregory, WM 1131
Greystoke, A 1518
Gridley, G 195
Grieve, R 1257
Griffiths, J 462
Grigorieva, J 1820
Grilley-Olson, JE 482
Grimm, C 918
Grinsted, L 1093
Groen, HJM 1820
Groff, SL 617
Grønberg, BH 442
Gross, E 658
Grosso, F 612
Grosso, V 1302
Grotzer, MA 1399
Grubb, R 207
Gruenberger, B 961
Gruenberger, T 961
Grundy, RG 1144
Grusch, M 1978
Gruselle, O 116
Gualberto, A 2024
Gueders, M 1083
Guichet, P-O 1488
Guillemot, E 1944
Güller, U 266
Gunawardana, NP 403
Gutin, A 1776
Haas, T 1059
Haber, M 1418
Hackman, T 482
Hackshaw, A 910, 1801
Haferkamp, A 847
Hafner, F 1244
Haga, N 31
Hagel, C 1399
Haider, S 508
Haidopoulos, D 1869
Hall, JS 684
Hall, P 18
Halloran, SP 765
Hamdy, FC 123
Hamelinck, VC 12
Hamilton, W 1205
Hammarström, M-L 150
Hammarström, S 150
Hammersley, V 1938
Hammond, EM 291
Han, N 1766
Handley, G 765
Hansen, BT 1451
Hansen, TF 1169
Harding, V 925
Hardwick, RH 1908
Hardy, R 585
Harjes, U 1207
Harper, P 158
Harrington, JA 1692
Harris, AL 1044, 1207
Harris, HR 874
Harrison, J 1125
Hart, CA 1737
Hartung, A 43
Hasegawa, M 652
Hashimoto, Y 448
Hatzidaki, D 1932
Hatzimichael, E 75, 1423
Haugland Haugen, M 667
Hauschild, M 956
Hawkins, R 435
Hayes, DN 482
Hayes, RB 207
Hayes, S 1125, 1766
Haylock, R 1660
Haynes, AP 531
Hayward, MC 482
He, C 352
Heenan, SD 1310
Hegedus, B 1978
Heijnsdijk, EAM 778
Heilmann, M 1409
Heinemann, V 1678
Heinimann, K 1399
Heinonen, H-R 1761
Heinze, G 84, 918
Henderson, BW 1534
Henderson, FC 772
Hendry, M 243
Heng, DYC 1059
Hennessy, BT 1776
Hepp, R 823
Herbst, RS 1268, 1277
Herndon, JE 1481
Herpel, E 831
Herrington, CS 1327
Herzig, K-H 1729
Heys, SD 937
Heywood, M 588
Hiki, N 275
Hill, KA 24
Hill, M 585
Hiller, L 1257
Hills, A 1138
Hiom, S 1220
Hironaka, S 429
Hirsch, FR 823
Hixon, ML 2024
Ho, Y-K 53
Hochhaus, A 1678
Hoda, MA 1978
Hodi, FS 1663
Hoekstra, HJ 570, 1637
Hoenerhoff, MJ 129
Hoffmann, B 1853
Hoffmeister, M 831
Hofheinz, R-D 1678
Hofstetter, G 918
Hofvind, S 1451
Hohenberger, P 639
Hoivik, EA 1997
Hokland, P 1761
Hollenbeck, A 1181
Hollerbach, S 280
Holmberg, L 221
Holst, F 1997
Homma, S 137
Honecker, F 1853
Hong, JT 53
Hoover, RN 408
Hop, WCJ 1153
Höpfner, M 1853
Hopper, J 1001
Hopper, JL 1631
Horenblas, S 1637
Horgan, PG 695, 856
Horiguchi, Y 652
Horne, GA 1987
Hornslien, K 442
Horo, A 556
Hoshi, E 1474
Hoskin, PJ 684
Hossfeld, DK 435
Hovens, CM 1467, 1564
Howell, A 230
Hsing, AW 207
Hsu, C 1672
Hsu, C-H 1672
Hu, D 707
Huak, CY 334
Huang, W-Y 207
Huang, X 1138
Huelsken, J 1514
Hugh, T 1883
Hughes, A 1518
Hughes, B 158
Hugnot, J-P 1488
Hugosson, J 778
Huntsman, D 800
Huo, Y 411
Huober, J 956
Hurst, C 1392
Hurt, C 243
Huson, LW 1022
Hussain, A 808
Hutchings, S 1662
Hwang, SY 108
Iacovelli, R 1227
Ianzano, ML 1302
Ide, H 652
Iezzi, M 1302
Iida, K 300
Iinuma, H 724
Ikeda, T 724
Ilhan-Mutlu, A 1454
Iliev, D 1776
Imai, N 988
Imamura, T 724
Inbar, D 1317
Inbar, O 814
Indraccolo, S 1286
Ino, K 1969
Inoue, A 1745
Inoue, M 448
Ioannou, K 1869
Iqbal, B 1618
Iqbal, J 1797, 2005
Iqbal, ST 1618
Iradji, S 469
Ireland, SJ 388
Irlam, JJ 684
Irminger-Finger, I 675
Irwin, AG 1310
Isambert, N 598
Ishibashi, M 1345
Ishibashi, T 300
Ishikawa, M 300
Ishimoto, T 1233
Ishioka, J 1031
Islami, F 888, 1618
Israelsson, A 150
Issa-Nummer, Y 956
Itoh, H 632
Iurlo, A 904
Ives, A 1220
Iwaku, A 988
Iwatsuki, M 1233, 1950
Jack, RH 1908
Jakobsen, A 1169
Jalava, T 1044
Jammulapati, S 1776
Janczar, K 1423
Jankowski, T 793
Jansen, L 831
Jaquet, A 556
Jarrard, DF 100
Jarzab, B 994
Jassem, J 793
Jeannon, J-P 1138
Jeng, W-J 2010
Jensen, M-B 1901
Jiang, X 275
Jirillo, A 1286
Jitlal, M 910
Jobsen, JJ 549
Jodrell, DI 1692
Joergensen, S 1169
Johansen, C 201
Johansson, J-E 895
Johnson, PJ 1595
Johnston, M 937
Johnston, RB 1467
Jones, C 1938
Jones, CI 1987
Jones, RJ 856
Jong, RA 24
Jordan, F 856
Jordan, L 75, 224
Jordan, SD 1257
Joshi, H 1722
Juengel, E 847
Julin, B 895
Jung, E-J 325
Kabouraki, E 1932
Kadowaki, T 2016
Kaern, J 588
Kaira, K 632
Kajiyama, H 1969
Kakhdoomi, MA 1618
Kalbakis, K 1932
Kalland, K-H 1997
Kalso, E 1459
Kamachi, H 137
Kamangar, F 888
Kamiyama, T 137
Kamo, N 724
Kämpjärvi, K 1761
Kan, L 1917
Kanai, Y 632
Kanfer, G 1844
Kannappan, V 1488
Kantola, T 1729
Kapidzic, A 1295
Kaplan, R 1037
Karadimou, A 1665
Karakiewicz, PI 1826
Karhu, T 1729
Karimdjee-Soilihi, B 1944
Karlsen, RV 201
Karn, T 956, 1892
Karp, DD 2024
Karran, LE 1423
Karrasch, M 1
Karttunen, TJ 1729
Kasai, T 1474
Kasiri, S 315
Kasper, S 823
Kassouf, W 1826
Katagiri, A 300
Katagiri, H 300
Kataja, M 1459
Kawakami, S 1031
Kawamata, F 137
Kawamoto, Y 340, 1444
Kaye, SB 1025, 1093, 1797
Ke, Y 388
Kealy, R 230
Keegan, TJ 1652
Kelly, R 1574
Kendall, E 765
Kendall, GM 1652
Kenessey, I 1978
Kenny, SL 1037
Kenter, GG 1956
Kerger, J 435
Khan, I 910, 1801
Khan, J 1418
Khandan, F 956, 1892
Khorprasert, C 1075
Khuu, A 1059
Kiemeney, LALM 1637
Kihara, K 1031
Kikkawa, F 1969
Kikuchi, E 652
Kikuchi, K 1474
Kilpivaara, O 1761
Kim, B-G 91
Kim, H 1433
Kim, H-J 91, 108
Kim, KB 53
Kim, MA 325
Kim, M-K 91
Kim, S 1268, 1277
Kim, SB 1075
Kim, T-J 91
Kim, TS 108
Kim, TY 1075
Kim, WH 325
Kim, WK 1433
Kim, Y-K 108
Kim-Sing, C 2005
King, AJ 1987
King, E 382
King, JC 1652
Kinlen, LJ 1163
Kinnersley, B 1001
Kinoshita, A 988
Kinoshita, K 1233
Kirita, T 700
Kirsh, VA 207
Kissow Lildal, T 116
Kitchen, D 158
Kitchener, H 1574
Kjaer-Frifeldt, S 1169
Kleiman, M 814
Klepetko, W 1978
Klepp, O 1833
Klikovits, T 1978
Klintrup, K 1729
Knapp, S 491
Knowles, M 1392
Knudsen, ES 1684
Kobayashi, K 1474
Kobayashi, M 1075, 1745
Kobayashi, Y 100
Köberle, D 266
Koechlin, A 1608
Koffijberg, H 161
Koga, F 1031
Koike, K 988
Koizumi, W 429
Kojima, M 340
Komatsu, Y 340
Komiyama, K 1474
Kondo, T 1745
Konfortion, J 1908
Koning, GA 1153
Kooijman, JL 772
Kool, M 1399
Kopetz, S 1442
Kordes, U 1399
Korfage, IJ 1295
Koshiol, J 207
Kosma, V-M 800
Koster, J 1399, 1409
Köster, J 1409
Kotajima, F 1474
Kotani, T 1969
Koukourakis, MI 1044
Kowoll, A 1840
Koyama, S 1474
Kozakai, N 652
Kozloff, MF 1268, 1277
Krajden, M 1917
Krakstad, C 1997
Kramar, A 1025
Kreuzer, M 1188
Krippendorff, B-F 1692
Kristeleit, RS 1025
Kristensen, V 1722
Krivak, T 1776
Kroll, ME 216, 219, 879, 1159
Kronenwett, R 1892
Kruijff, S 570
Krzakowski, M 1277
Kubota, T 275
Kuehni, CE 234
Kuester, D 675
Kuiper, JL 1820
Kuipers, EJ 1051, 1295
Kumagai, K 275
Kumaki, N 2016
Kumamoto, H 1745
Kuniyasu, H 700
Kuppusamy, P 516
Kurashige, J 1233
Kurihara, M 700
Kurosch, M 847
Kurzrock, R 1093
Kusonmano, K 1997
Kusunoki, M 1595
Kuwano, H 31
Kwast, ABG 549
Kweon, SH 108
Kyo, S 448
La Vecchia, C 1580
Labianca, R 612
Lackner, A 1978
Lacombe, D 1025
Laekeman, G 1644
Lagergren, J 564, 1908
Lahav, M 1844
Lai, D 352
Lake, RA 1107
Lamb, GW 856
Lambiase, A 37
Lambin, P 508
Lamers, C 639
Lanchbury, JS 1776
Land, LH 1901
Landi, L 793
Landis, SH 1075
Landoni, F 785
Landuzzi, L 1302
Langer, CJ 2024
Lanza, C 1286
Lao-Sirieix, S 585
Larbret, F 1944
Largillier, R 588
Larkin, J 1664
Larry Goldenberg, S 1467
Larsen, SB 201
Laskey, RA 1384
Laszlo, V 1978
Lattanzio, L 75, 375, 732, 1423
Laubender, RP 1678
Lauraine, EP 588
Laurent, D 1044
Lavelle, K 1175
Lavery, K 1138
Lawhon, T 707
Lawrence, G 1175
Lawrence, HJ 345
Lawson, EB 604
Le Cesne, A 639
Lebbe, C 455
Lebwohl, D 1044
Lee, AJ 1644
Lee, BL 325
Lee, HE 325
Lee, HS 325
Lee, J-H 1783
Lee, JM 707
Lee, J-W 91
Lee, M-H 646
Lee, S 75
Lee, SC 1075
Lee, SM 910
Lee, T-H 108
Lee, TJW 417
Lee, Y-Y 91
Lefevre, K 1644
Legood, R 1574
Leh, S 1684
Lehtonen, HJ 1761
Leighl, NB 604
Leiter, U 422
Leitzmann, MF 207
Lele, S 370
Lemoli, RM 1302
Leonard, RCF 1257
Leoni, VP 675
Lerut, E 1665
Lestingi, TM 592
Leung, HY 1554
Levine, RL 1761
Lewensohn, R 1361
Lewis, R 243
Lewis, WG 1925
Li, D 2024
Li, HK 925
Li, J 544
Li, L 675
Li, Z 1684
Lian, JB 1714
Lian, L-Y 388
Liaw, Y-F 2010
Libby, G 255
Libra, M 1580
Liedtke, C 956
Liefers, GJ 12
Lieffers, JR 931
Lieuwes, NG 508
Lightfoot, T 217
Lightsey, D 754
Lin, C-C 2010
Lin, S-M 2010
Lin, Y 707, 1692
Lin, Z-Z 1672
Lincz, LF 1525
Lind, JSW 1820
Lindebjerg, J 1169
Lindmark, G 150
Lindsay, I 1810
Linklater, KM 1908
Linnebank, M 1840
