Author Index for Volume 94


Aaboe, M 1465
Freund, HR 681
Frickhofen, N 79
Friedman, E 1537
Friis, S 1339
Fritsch, PO 835
Fritz, GI 1726
Fritzsche, F 540
Fuchs, CS 928
Fuchs, U 323
Fugazza, C 785
Fujita, T 247
Fujita, Y 737
Fujiwara, M 1485
Fukuda, M 1267, 1267
Fulton-Kehoe, D 1071
Furrer, M 1099
Fürstenberger, G 524
Futreal, PA 318
Gafà, L 743
Gal, I 1537
Galán, A 969
Galica, J 1011
Galle, PR 1572
Gallick, GE 1710
Gallo, C 1233
Gallo, J 1621
Gambotti, L 1000
Ganesan, TS 1650
Gansukh, T 540
García del Muro, J 1797
García Rodríguez, LA 136
Garden, OJ 213, 982
Gardiner-Garden, M 904
Garnier, J 259
Garrison, LP 1122
Garte, S 1533
Gatter, K 1176
Gay, F 481
Gazdar, AF 1927
Gazi, E 842
Gee, AL 1186
Gelibter, A 1789
Gelly, M 259
Genestie, C 473
Genkinger, JM 757
Georgoulias, V 798
Gerritsen, WR 1837
Ghali, L 1446
Ghiotto, C 1550
Giannarelli, D 1789
Gibault, L 1214
Gibbens, I 74
Giele, H 1496
Gillbanks, A 1107
Gilliland, G 1918
Gilmour, H 731
Giovannucci, E 928
Girard, L 1927
Gislum, M 142
Giusti, C 239
Gjerstorff, MF 1864
Glasspool, RM 1087
Glynne-Jones, R 121, 363
Goedert, JJ 548
Goekkurt, E 281
Going, JJ 1568
Goldbohm, RA 165, 757
Goloubeva, OG 1465
Gondos, A 450
González-Barón, M 969
Gook, D 1007
Gore, M 74, 1217
Gorin, I 1000
Goubin, A 763
Graat, HCA 1837
Graeven, U 1293
Grainger, J 363
Gravina, A 1233
Gray, NM 1253
Green, J 1446
Greenfield, DM 469
Gregersen, H 1339
Greinert, R 743
Gridelli, C 1604
Grieu, F 593
Griffin, JD 1765
Griffioen, G 1035
Griffiths, C 1079
Griffoni, C 1300
Grigg, A 1007
Grobholz, R 578
Grusch, M 1718
Grzesiak, JJ 1311
Gu, W 1555
Guan, XY 108
Guarneri, V 1016
Gueders, M 724
Guida, C 1809
Haas, OA 323
Habeshaw, T 74
Habicht, J 1099
Hacker, NF 904
Hackman, J 1777
Hägg, M 1592
Hallmans, G 1913
Halstead, F 1281
Hamacher, J 524
Hamblin, MR 391
Hamilton, CA 642
Hammett, Z 1116
Han, C 1650
Hanagiri, T 896
Hancock, B 806
Hancock, BW 469, 492
Hanemaaijer, R 1035
Hankinson, SE 757
Hanly, AM 1320
Hannoun-Lévi, J-M 1516
Hansen, E 1099
Hansson Mild, K 1348
Harbottle, A 1887
Hardell, L 1348
Harnack, L 757
Harper, P 1107
Harries, M 1217
Harrington, KJ 631
Harris, A 1176
Harrison, M 363
Harrison, P 1107
Hart, CA 842
Hartmann, D 1572
Hasegawa, Y 1599
Hashimoto, M 1894
Hassel, BA 1465
Hassler, E 835
Hasson, P 771
Hatch, EE 1734
Hauser, P 1918
Hayes, DF 8
Haywood, P 253
Hebbar, M 69
Hecker, D 1615
Hedley, D 1136
Heikkilä, P 1697
Heinzelmann-Schwarz, VA 904
Helder, MN 1837
Helg, C 1770
Hellström, A-C 1045
Hémon, D 763, 1342
Hendlisz, A 481
Hendrickson, MR 642
Hennig, E 586
Henriksson, R 1853
Henshall, SM 904
Herbarth, O 1726
Herbst, A 1734
Herings, RMC 752
Heriot, AG 1412
Hewitt, SM 686
Hickish, T 1107
Hicklin, DJ 1710
Hieber, L 1472
Higashi, H 1874
Higginson, A 1420
Higo, M 717
Hill, MH 1942
Hillinger, S 1029
Hindley, A 55
Hiraoka, K 275
Hirayama, Y 311
Hiyama, E 1510
Hlubek, F 1672
Ho, J 1136
Hocking, B 1350
Hodson, N 828
Hoehn, S 281
Hofstetter, W 1496
Hogervorst, FBL 333
Hogue, CJR 1745
Hokland, M 218
Holgersson, Å 1683
Hollywood, D 189
Holzmann, K 1718
Honegger, H 1099
Hoogerbrugge, N 814
Hoover, RN 1734
Hopwood, P 507
Horgan, PG 1833
Horsfield, MA 1420
Horsman, JM 30
Horvath, L 964
Hoskin, P 806
Hosoi, H 1510
Hosokawa, M 854
Hossfeld, DK 281
Houben, MPWA 752
Houllier, AM 692
Howell, A 460, 1021
Hsu Schmitz, S-F 1099
Huat, TE 1383
Hubbard, A 427, 1554
Hubner, R 74
Hudes, G 1621
Hudson, TJ 436
Huitema, ADR 1226
Hull, R 1107
Hung, M-C 184
Hunter, DJ 757, 928
Hunter, RD 115
Hussenet, T 1041
Hutchison, C 486
Hutzler, P 1472
Huynh, CK 513
Hwang, H-W 776
Hyer, M 1734
Hyodo, I 1803
Iacopetta, B 593
Iacopetta, BJ 339
Ichikawa, S 737
Ichikawa, W 1130
Ichiki, Y 896
Iehara, T 1510
Ijichi, T 854
Ikemura, K 1580
Ikram, M 1446
Imai, K 914
Imaizumi, K 1599
Imawari, M 311
Inenaga, R 1580
Innes, HE 1057
Innocenti, F 1263
Ino, K 552
Inokuchi, M 1130
Inoue, H 1894
Inoue, M 740
Iriye, R 161, 940
Ishida, E 532
Ishihara, T 1575
Ishikawa, K 1894
Ishikawa, Y 1485
Ismail, T 1898
Ito, H 311
Itoh, T 275
Ittah, H 1000
Iuchi, Y 854
Ivil, KD 891
Iwai, N 737
Iwasaki, M 740
Iyer, NG 1326
Izumi, H 710
Izutsu, T 1586
Jack, A 806
Jackson, D 1650
Jackson, DP 1281
Jacob, JH 69
Jager, D 681
Jager, E 1615
Jain, A 85
Jakobs, R 1572
James, N 1395
Janssens, ACJW 1093
Jayson, GC 55
Jeannin, J-F 259
Jelic, S 1122
Jenkins, SA 891
Jenkins, V 828
Jentsch-Ullrich, K 200
Jeon, SB 1407
Jeremiah, S 1472
Jimeno, J 1610
Johansen, C 1352
Johansen, LE 1864
Johansson, M 1853
Johns, L 499
Johnsen, HE 1339
Johnson, H 1898
Johnson, PJ 287, 1898
Johnston, PG 1122
Jones, CE 922
Jones, RL 358
Joosse, SA 333
Jordan, C 1921
Joss, C 1099
Jovic, G 1016
Jung, A 1672
Jung, B 79
Jung, HY 1407
Jung, K 540
Kaaks, R 299
Kabuubi, P 115
Kajiyama, H 552
Kakolyris, S 798
Kalindjian, B 1107
Kalso, E 1559
Kalykaki, A 798
Kan, C-Y 339
Kanazawa, T 293
Kaneko, K 311
Kaneko, M 1510
Kanter, L 1683
Kapp, DS 642
Karakas, B 455
Karczmarski, J 586
Karlsson, M 1478
Kasamatsu, A 717
Kaspers, GJL 1837
Katlama, C 1000
Kato, H 1575
Kato, K 1599
Kato, T 1803
Katoh, H 275
Kaufman, R 1734
Kaur, K 1650
Kautiainen, H 147
Kavet, R 161, 940
Kawakami, K 593
Kawano, T 1130
Kawasaki, K 247
Kay, EW 1320
Kaye, S 62, 74
Kazama, S 293
Kehoe, S 1
Kelesidis, I 1221
Kelesidis, T 1221
Kellokumpu-Lehtinen, P 1245
Kelly, JD 569
Kendall, C 1460
Ketterer, N 1770
Key, TJ 299
Keyzor, C 74
Khan, AN 1213
Khaw, K-T 299
Kheifets, L 161, 940
Kigawa, J 1369
Kikkawa, F 552
Kikuchi, Y 1369
Killing, B 1293
Kim, B-G 1678
Kim, B-S 959
Kim, CG 1402
Kim, DH 1407
Kim, HK 1402
Kim, JG 1407
Kim, RH 620
Kim, T-J 1678
Kim, YW 1402
Kimmel, G 1537
Kimmel, KA 1621
Kinjo, F 1803
Kinoshita, A 1267
Kirby, AM 631
Kirchner, T 1672
Klar, E 976
Klautke, G 976
Kleeberg, U 1615
Kleifeld, O 941
Klimek-Tomczak, K 586
Knox, WF 253
Knuth, A 1615
Kobayashi, M 854
Kobayashi, T 854
Kobylecki, C 115
Kock, K 1864
Koda, K 1816
Koenigsmann, M 200
Kofler, B 268
Kohls, A 1237
Kohno, K 710
Kohno, S 1267
Kohno, Y 710
Koike, H 717
Koizumi, W 1803
Kojima, K 1130
Kölbl, O 1544
Komatsu, Y 1803
Kondo, S 275
Konishi, K 311
Konishi, N 532
Kononen, J 128
Koren, M 1537
Korfage, IJ 1093
Kosinski, M 1770
Kosmidis, P 947, 1383
Kote-Jarai, Z 308
Koumakpayi, IH 1906
Kouroussis, Ch 798
Kouzu, Y 717
Kovacsovics, T 1770
Kowalewska, M 1761
Kramer, G 1592
Kremer, B 1293
Kristiansen, G 540
Krocker, J 1237
Kroll, ME 22
Krubasik, D 1326
Kuba, M 1267
Kubben, FJGM 1035
Küchenmeister, U 976
Kumar, D 1412
Kumekawa, Y 311
Kümmel, S 1237
Kuopio, T 147
Kurachi, H 1586
Kurahashi, N 740
Kurahashi, T 311
Kurozawa, Y 737
Kurschat, P 1086
Kurzawinski, T 1107
Kusafuka, T 1510
Kusano, M 311
Kuznetsova, NP 1492
Kuzuya, K 1369
Kwa, HB 625
Kwan, A 1504
Kynaston, HG 891
Labonia, V 1233
Lacau St Guily, J 1164
Lacave, R 473, 1164
Laccourreye, O 692
Lade, S 1007
Lagarde, N 1214
Lagergren, J 136
Lagos, D 1504
Lahmann, PH 299
Lahousen, M 947
Lai, C 1553
Lakhani, SR 358
Laktionov, PP 1492
Lala, PK 1154
Lam, GN 1621
Lam, S 1927
Lam, WL 1927
Lamb, GWA 781
Lamers, CBHW 1035
Lamph, WW 654
Lancet, D 1537
Landi, B 1287
Landi, G 1233
Landi, S 299
Langagergaard, V 142
Langbein, S 578
Larrañaga, N 299
Larsson, P 1478
Larsson, SC 757
Lash, TL 142
Laskey, RA 1170
Lastoria, S 1809
Lau, D 1452
Lau, YS 1496
Laurent-Puig, P 692
Laurenzana, A 1637
Laurier, D 1342
Laux, I 85
Lawson, JS 339
Le Bacquer, O 195
Le Page, C 436, 1906
Lebeau, B 1375
Leclerc, A 152
Ledermann, J 55
Lee, CM 863
Lee, J-H 1402, 1678
Lee, JS 1402
Lee, J-W 1678
Lee, KB 1407
Lefèvre, M 1164
Lefranc, JP 473
Lehto, U-S 1245
Leigh, IM 1446
Leitzmann, M 757
Lemoine, A 1180
Lempereur, L 1428
Lerbs, W 1615
Lesniewski-Kmak, K 1122
Lesslie III, DP 1710
Lester, JE 30
Lesueur, F 1921
Leung, HY 569
Lewensohn, R 1683
Lewis, CE 101
Lewis, N 1621
Lewsley, L 62
Leyden, J 1204
Li, XD 1913
Lièvre, A 692
Ligtenberg, MJ 333, 814
Liloglou, T 561
Linch, D 806
Lind, M 947
Lind, MJ 427, 1554
Lindblad, M 136
Linder, S 1592
Link, MP 161, 940
Linseisen, J 299
Little, J 1253
Liu, D 1057
Liu, N 1452
Liu, Q 391
Liu, S 686
Liu, Z 1658
Lledo, G 1287
Lo, H-W 184
Locke, I 308
Lockwood, WW 1927
Loehr, A 79
Logan, RFA 1751
Lombaerts, M 661
Loncaster, JA 115
Longacre, TA 642
Longerey, B 1395
Lopez-Gómez, L 969
López-Pousa, A 1797
Lorenz, J 1395
Loria, DI 743
Losa, F 969
Losa, R 1797
Lotz, JP 473
Lou, F 1658
Louvet, C 1287
Lowe, D 561, 647
Lowrie, AG 1663
Lowry, M 427, 1554
Lozac'H, P 1214
Lu, Y-C 870
Lu, Y-J 308
Luben, R 1921
Lucas, R 524
Lucas, SB 446
Luccarini, C 1921
Luce, D 152
Ludwig, K 976
Lukan, N 578
Luppi, G 785
Lutze, G 200
Ma, J 928
Mabro, M 1287
MacAulay, C 1927
Macdonald, S 1272
Mach, J-P 1770
MacLennan, K 806
Macleod, U 1272
MacMathuna, P 1204
Madhavan, KK 213
Madore, J 436
Maeda, Y 1803
Mäenpää, J 55
Maindrault-Goebel, F 1287
Major, P 1136
Mak, TW 620
Makino, R 311
Makris, A 363
Malek, K 69
Mall, M 1472
Malzyner, A 1122
Mamane, Y 195
Manara, MC 1300
Mandelson, MT 1071
Mandic Havelka, A 1592
Manegold, C 1375
Manek, S 1650
Manley, P 1765
Mann, GB 1355
Manton, DJ 427, 1554
Mantzoros, CS 156, 1221
Maraveyas, A 427, 1554
Marcussen, N 218
Marechal, R 481
Marian, B 1718
Marits, P 1478
Markmann, I 200
Markowicz, S 1761
Marone, P 1809
Marshall, J 757
Martin, A 287, 1898
Martin, C 955
Martín, J 1797
Martin, P-M 239
Martin, W 1572
Martinez, C 743
Martinez, V 1000
Martínez-García, C 299
Martínez-Trufero, J 1797
Martino, M 1016
Martinsson-Ahlzén, H-S 1045
Maruyama, R 914
Mascaux, C 1549
Mason, B 351
Masson, LF 1253
Massuger, LF 814
Matakidou, A 18
Matsubara, N 854
Matsuki, Y 710
Matsumoto, S 1599
Matsumoto, Y 1510
Matsuyoshi, S 532
Matteucci, P 1016
Matthews, GM 922
Mattson, K 1375
Mauch, C 1086
Maughan, TS 1122
Maur, M 1016
Maurel, J 1797
Mauritz, I 1718
Mavroudis, D 798
Maxhimer, JB 1436
May, J 1777
Mayordomo, E 540
Mayr, JA 268
Mazar, AP 1621
Mazhar, D 346
McArdle, CS 1833
McCullough, ML 757
McDonald, AC 637
McEntee, G 1204
McGorm, K 1116
McKay, JD 299
McKee, RF 1833
McKendrick, J 1007
McKendrick, JJ 1122
McKernan, M 637, 1568
McKinney, PA 1352
McLaughlin, CC 1738
McLinton, A 486
McMillan, DC 227, 637, 781, 1568, 1833
Meazza, R 1845
Meierhofer, D 268
Meijer, CJLM 171
Meldgaard, P 1703
Melia, J 499, 507, 1361
Memon, AA 1703
Mendell, JT 776
Menetrier-Caux, C 1066
Meng, Q 407
Mengitsu, T 308
Menvielle, G 152
Mercier, M 743
Mes-Masson, A-M 436, 1906
Mestan, J 1765
Mestel, DS 1879
Metcalf III, CA 1710
Metges, J-P 1214
Mettal, H 323
Meuthen, I 1615
Meyer, M 398
Mezei, G 161, 940
Micklem, K 1176
Middleton, G 1107
Miertusova Tothova, S 879
Migeon, C 259
Mikula, M 586
Milandri, C 785
Milella, M 1789
Milham, S 1351, 1354
Miller, AB 757
Miller, WR 1051, 1333
Milligan, D 806
Millon, R 1041
Mills, IG 569
Mimori, K 1894
Minna, JD 1927
Miranda, A 743
Misset, JL 1610
Mitchell, E 1272
Mitchell, P 1007
Mitra, S 828
Mitrani-Rosenbaum, S 681, 1762
Miyamoto, M 275
Miyata, Y 1803
Miyazaki, M 1816
Mizunuma, H 1586
Möhler, M 1572
Mohren, M 200
Mommers, M 165
Monfardini, S 1550
Monnier, S 299
Monsaert, E 481
Moore, J 593
Moore, MJ 1136
Morabito, A 1233
Morack, G 1237, 1615
Morere, J-F 1823
Morgan, B 1420
Mori, M 1894
Mori, S 30
Morin, A 1342
Morini, J-P 1000
Morita, M 896
Moriya, T 1369, 1586
Morrica, B 1809
Morris, LS 1170
Morris, R 828
Morrison, I 1412
Morton, DG 922
Moss, A 1204
Moss, S 499, 507, 1361
Mossotti, R 743
Motzer, RJ 614
Mouncey, P 806
Moureau-Zabotto, L 473
Moynihan, C 499, 507
Mueller, BU 1918
Mühl, B 1194
Müller, B 1194
Muller, D 1041
Muller, K 1389
Munakata, M 1803
Munaut, C 724
Munoz, F 1504
Murphy, G 569, 1326
Murray, D 1204
Murray, G 1107
Murray, J 1051
Muston, D 1361
Nagasaka, T 552
Nagashima, S 1267
Nagawa, H 293
Nakagawa, K 1485
Nakahara, K 1586
Nakakubo, Y 275
Nakamura, K 1575
Nakamura, M 532
Nakamura, S 1580
Nakamura, Y 1267
Nakano, S 1803
Nakashima, D 717
Nakata, S 896
Nakayama, K 311
Nanni Costa, A 1533
Narahara, H 1803
Nasca, PC 1738
Nathan, P 1217
Navarro, C 743
Nawa, A 552
Neal, DE 569
Nederlof, PM 333
Negro-Vilar, A 654
Neuberg, D 1918
Nevanlinna, H 1697
Newton, R 1504, 1949
Nexo, E 1703
Nguyen, DM 1436
Nicklee, T 1136
Nico, B 1845
