	pmcid	question	relevancy
0	2377328	1	0
0	2384760	1	0
0	2385369	1	0
0	2385553	1	0
0	2385640	1	0
0	2385755	1	0
0	2385924	1	0
0	2385997	1	0
0	2386025	1	0
0	2387304	1	0
0	239962	1	0
0	2412892	1	0
0	2416450	1	0
0	2426819	1	0
0	2429898	1	1
0	2438319	1	2
0	2440371	1	0
0	2442763	1	0
0	2442836	1	0
0	2447981	1	0
0	2448026	1	0
0	2448042	1	0
0	2448226	1	0
0	2448334	1	0
0	2448567	1	0
0	2449073	1	0
0	2449084	1	0
0	2449241	1	0
0	2464759	1	0
0	2478840	1	0
0	2479219	1	0
0	2479348	1	0
0	2480047	1	0
0	2490681	1	2
0	2491616	1	0
0	2494512	1	0
0	2494540	1	2
0	2496697	1	0
0	2503962	1	2
0	2515411	1	0
0	2515887	1	0
0	2518510	1	0
0	2518511	1	0
0	2522257	1	0
0	2526437	1	0
0	2531092	1	0
0	2531110	1	0
0	2531170	1	0
0	2533016	1	0
0	2536545	1	0
0	2542373	1	0
0	2546416	1	0
0	2547889	1	0
0	2553061	1	2
0	2556664	1	0
0	2556675	1	0
0	2570419	1	0
0	2570577	1	0
0	2571038	1	0
0	2572041	1	0
0	2575206	1	0
0	2576186	1	0
0	2577653	1	0
0	2579032	1	0
0	2582336	1	0
0	2584072	1	0
0	2584632	1	0
0	2584645	1	0
0	2587466	1	0
0	2589163	1	0
0	2592264	1	0
0	2595308	1	0
0	2595498	1	0
0	2596106	1	0
0	2596107	1	0
0	2599899	1	1
0	2601772	1	0
0	2602994	1	2
0	2605324	1	0
0	2606321	1	0
0	2613580	1	0
0	2613589	1	0
0	2615347	1	0
0	2615786	1	0
0	2628138	1	0
0	2628943	1	0
0	2629968	1	0
0	2630954	1	0
0	2631458	1	0
0	2631532	1	0
0	2633086	1	0
0	2633177	1	0
0	2633274	1	0
0	2635122	1	1
0	2635975	1	0
0	2636749	1	0
0	2639563	1	0
0	2640148	1	0
0	2642787	1	0
0	2642791	1	0
0	2644593	1	0
0	2646042	1	0
0	2646693	1	1
0	2647913	1	0
0	2651103	1	0
0	2653043	1	2
0	2657236	1	0
0	2657246	1	0
0	2657286	1	0
0	2660446	1	0
0	2660448	1	0
0	2661253	1	0
0	2665694	1	0
0	2666450	1	0
0	2668594	1	2
0	2669860	1	0
0	2670825	1	0
0	2671102	1	0
0	2671108	1	0
0	2671488	1	0
0	2672159	1	2
0	2672237	1	2
0	2672240	1	2
0	2672280	1	0
0	2672467	1	2
0	2672800	1	0
0	2678708	1	0
0	2678974	1	0
0	2683640	1	0
0	2684210	1	0
0	2684533	1	0
0	2687807	1	0
0	2688345	1	0
0	2689449	1	0
0	2691517	1	0
0	2693660	1	0
0	2694324	1	0
0	2698143	1	0
0	2699957	1	0
0	2700440	1	0
0	2700483	1	0
0	2700584	1	0
0	2700591	1	0
0	270093	1	0
0	2702883	1	0
0	270692	1	0
0	270696	1	0
0	2710446	1	0
0	2711952	1	0
0	2713886	1	0
0	2714572	1	0
0	2718880	1	0
0	2720838	1	0
0	2721934	1	0
0	2723097	1	0
0	2723098	1	0
0	2726481	1	0
0	2726493	1	0
0	2726500	1	0
0	2726538	1	0
0	2727312	1	0
0	2729302	1	0
0	2729419	1	1
0	2731044	1	0
0	2734055	1	0
0	2737775	1	1
0	2738308	1	0
0	2739458	1	0
0	2740026	1	0
0	2740033	1	0
0	2740076	1	0
0	2740261	1	0
0	2740271	1	0
0	2740317	1	0
0	2745530	1	0
0	2750224	1	0
0	2752757	1	2
0	2752759	1	0
0	2755748	1	0
0	2758336	1	0
0	2758876	1	2
0	2760694	1	0
0	2762955	1	0
0	2766904	1	0
0	2767138	1	0
0	2767139	1	0
0	2768704	1	0
0	2769292	1	0
0	2769329	1	0
0	2769357	1	0
0	2769421	1	0
0	2769463	1	0
0	2769473	1	0
0	2771796	1	0
0	2771803	1	0
0	2771816	1	0
0	2774533	1	0
0	2774585	1	0
0	2776366	1	0
0	2776372	1	0
0	2778463	1	2
0	2780531	1	0
0	2780532	1	0
0	2780638	1	0
0	2783047	1	0
0	2783087	1	0
0	2785867	1	0
0	2788594	1	0
0	2788602	1	0
0	2790183	1	0
0	2791736	1	0
0	2794284	1	0
0	2794287	1	0
0	2794498	1	0
0	2794850	1	0
0	2797112	1	0
0	2797384	1	0
0	2799006	1	0
0	2799065	1	0
0	2799444	1	2
0	2801043	1	0
0	2801462	1	0
0	2801475	1	2
0	2801476	1	0
0	2801630	1	0
0	2803837	1	0
0	2803987	1	0
0	2806544	1	0
0	2808590	1	0
0	2810603	1	0
0	2815840	1	0
0	2820020	1	0
0	2821753	1	0
0	2822146	1	0
0	2824858	1	0
0	2825131	1	0
0	2825137	1	0
0	2826300	1	0
0	2827053	1	0
0	2827076	1	0
0	2827159	1	0
0	2828648	1	0
0	2829407	1	0
0	2829594	1	0
0	2830978	1	0
0	2831827	1	0
0	2831875	1	0
0	2832616	1	2
0	2837876	1	0
0	2838812	1	0
0	2840543	1	0
0	2840771	1	0
0	2841247	1	0
0	2841803	1	0
0	2842230	1	0
0	2844821	1	0
0	2844981	1	0
0	2845793	1	0
0	2845797	1	2
0	2846340	1	0
0	2854936	1	0
0	2859335	1	0
0	2859340	1	0
0	2862675	1	0
0	2864260	1	0
0	2868349	1	0
0	2869014	1	0
0	2872101	1	0
0	2872337	1	0
0	2872582	1	0
0	2872585	1	0
0	2872643	1	0
0	2879296	1	0
0	2879847	1	0
0	2881434	1	0
0	2882890	1	0
0	2885384	1	0
0	2886244	1	0
0	2888895	1	0
0	2889886	1	0
0	2889887	1	0
0	2890598	1	0
0	2890860	1	0
0	2890888	1	0
0	2892672	1	0
0	2892696	1	0
0	2895230	1	0
0	2896582	1	0
0	2896587	1	0
0	2898111	1	0
0	2898112	1	0
0	2899781	1	0
0	2899802	1	0
0	2900090	1	0
0	2900098	1	0
0	2900165	1	0
0	2900746	1	0
0	2901636	1	0
0	2902051	1	0
0	2903510	1	0
0	2903528	1	0
0	2903703	1	0
0	2906497	1	0
0	2909175	1	0
0	2910293	1	0
0	2911602	1	0
0	2911709	1	0
0	2912127	1	0
0	2913565	1	0
0	2913845	1	0
0	2914738	1	0
0	2917397	1	0
0	2918543	1	0
0	2922325	1	2
0	2922332	1	0
0	2923171	1	0
0	2928351	1	0
0	2929215	1	0
0	2930639	1	0
0	2933371	1	0
0	2933634	1	0
0	2935984	1	0
0	2938490	1	0
0	2939394	1	0
0	2940744	1	0
0	2941787	1	0
0	2944193	1	0
0	2944252	1	0
0	2944860	1	0
0	2945326	1	0
0	2945520	1	0
0	2948152	1	0
0	2950921	1	0
0	2955588	1	0
0	2957391	1	0
0	2957713	1	0
0	2958506	1	0
0	2958892	1	0
0	2958931	1	0
0	2966986	1	0
0	2975852	1	0
0	2981154	1	0
0	2983030	1	0
0	2984131	1	0
0	2984316	1	0
0	2984347	1	0
0	2988939	1	0
0	2989515	1	0
0	2990006	1	0
0	2990395	1	0
0	2990820	1	0
0	2990845	1	0
0	2990857	1	0
0	2991647	1	0
0	2994106	1	0
0	2994810	1	0
0	2997971	1	0
0	2997976	1	0
0	3002374	1	0
0	3002912	1	0
0	3002915	1	0
0	3004510	1	0
0	3004632	1	0
0	3004643	1	0
0	3008823	1	2
0	3008827	1	0
0	3009618	1	0
0	3011119	1	0
0	3011308	1	0
0	3012194	1	0
0	3012262	1	0
0	3012798	1	0
0	3014857	1	0
0	3014884	1	0
0	3015350	1	0
0	3015423	1	0
0	3015516	1	0
0	3015686	1	0
0	3016116	1	0
0	3016743	1	0
0	3016755	1	0
0	3017683	1	0
0	3021334	1	0
0	3021856	1	0
0	3022170	1	0
0	3023754	1	0
0	3025919	1	0
0	3025941	1	0
0	3027454	1	0
0	3029794	1	0
0	3030042	1	0
0	3031010	1	0
0	3031240	1	0
0	3034036	1	0
0	3034926	1	0
0	3035604	1	0
0	3035779	1	0
0	3038794	1	0
0	3042737	1	0
0	3043584	1	0
0	3044014	1	0
0	3044022	1	0
0	3046006	1	0
0	3047842	1	0
0	3047871	1	0
0	3048580	1	0
0	3049745	1	0
0	3051159	1	0
0	3052194	1	0
0	3053557	1	0
0	3054411	1	0
0	3054620	1	0
0	3054895	1	0
0	3057063	1	0
0	3061929	1	0
0	3063409	1	0
0	3063538	1	0
0	3064452	1	0
0	3064453	1	0
0	3073886	1	0
0	3075173	1	0
0	3077839	1	0
0	3078211	1	0
0	3078258	1	2
0	3078282	1	2
0	3079129	1	0
0	3079137	1	0
0	3080321	1	0
0	3080575	1	0
0	3082674	1	0
0	3085068	1	0
0	3086162	1	0
0	3087430	1	0
0	3089828	1	0
0	3090376	1	0
0	3093002	1	2
0	3094669	1	0
0	3095960	1	0
0	3095978	1	0
0	3096430	1	0
0	3096433	1	0
0	3096571	1	0
0	3097017	1	0
0	3097542	1	0
0	3097588	1	0
0	3098373	1	0
0	3098417	1	0
0	3099218	1	0
0	3099620	1	0
0	3101754	1	0
0	3103445	1	0
0	3104376	1	0
0	3104454	1	0
0	3106905	1	0
0	3107160	1	0
0	3108626	1	0
0	3108758	1	0
0	3109313	1	0
0	3109347	1	0
0	3109831	1	0
0	3111043	1	0
0	3113158	1	0
0	3113191	1	0
0	3113998	1	0
0	3114193	1	0
0	3114601	1	0
0	3115843	1	0
0	3116109	1	0
0	3117807	1	0
0	3118137	1	0
0	3119170	1	0
0	3119444	1	0
0	3122596	1	0
0	3124253	1	0
0	3124303	1	0
0	3124686	1	0
0	3124730	1	0
0	3124854	1	0
0	3125218	1	0
0	3126708	1	0
0	3127748	1	0
0	3128593	1	0
0	3129103	1	0
0	3130126	1	0
0	3130771	1	0
0	3132366	1	0
0	3132610	1	0
0	3133999	1	0
0	3135503	1	0
0	3136516	1	0
0	3137850	1	0
0	3138412	1	0
0	3141386	1	0
0	3141563	1	0
0	3141691	1	0
0	3142026	1	0
0	3143100	1	0
0	3144328	1	0
0	3144846	1	0
0	3145901	1	0
0	3148881	1	0
0	3148886	1	0
0	3148990	1	0
0	3150700	1	0
0	3150702	1	0
0	3152170	1	0
0	3152527	1	0
0	3154169	1	0
0	3157077	1	0
0	3159233	1	0
0	3159931	1	0
0	3163609	1	0
0	3166923	1	0
0	3167136	1	0
0	3167747	1	0
0	3168828	1	0
0	3169763	1	0
0	3170783	1	0
0	3172020	1	0
0	3173670	1	0
0	3174121	1	0
0	3174928	1	0
0	3175444	1	0
0	3176617	1	0
0	3177593	1	0
0	3177926	1	0
0	3177936	1	0
0	3178279	1	0
0	3178760	1	0
0	3180178	1	0
0	3180521	1	0
0	3180752	1	0
0	3181845	1	0
0	3181964	1	0
0	3182911	1	0
0	3183358	1	0
0	3184632	1	0
0	3189109	1	0
0	3189145	1	0
0	3191824	1	0
0	3193044	1	0
0	3193535	1	0
0	3195089	1	0
0	3199072	1	2
0	3200217	1	0
0	3201609	1	0
0	3201905	1	0
0	3203297	1	0
0	3205375	1	0
0	3205748	1	2
0	3205784	1	0
0	3207234	1	0
0	3213198	1	0
0	3214171	1	0
0	3214352	1	0
0	3214490	1	0
0	3214547	1	0
0	3214567	1	0
0	3214678	1	0
0	3214680	1	0
0	3214869	1	0
0	3215178	1	0
0	3215995	1	0
0	3216903	1	0
0	3219562	1	0
0	3221192	1	0
0	3221908	1	0
0	3222059	1	0
0	3224392	1	2
0	3224447	1	0
0	3224650	1	0
0	3225872	1	0
0	3229005	1	0
0	3230011	1	0
0	3232170	1	0
0	3232486	1	0
0	3233371	1	0
0	3235997	1	0
0	3236151	1	0
0	3236176	1	0
0	3239016	1	0
0	3241297	1	0
0	3242199	1	0
0	3244391	1	0
0	3249276	1	0
0	3249330	1	0
0	3249340	1	0
0	3250995	1	0
0	3252504	1	0
0	3253770	1	0
0	3257036	1	0
0	3257462	1	0
0	3257699	1	0
0	3258019	1	2
0	3258729	1	2
0	3258766	1	0
0	3259311	1	2
0	3259378	1	0
0	3259381	1	2
0	3261730	1	0
0	3262520	1	2
0	3263298	1	0
0	3263900	1	0
0	3264527	1	0
0	3265073	1	0
0	3265521	1	0
0	3266527	1	0
0	3267351	1	0
0	3267758	1	0
0	3270006	1	0
0	3270285	1	0
0	3270293	1	0
0	3271561	1	0
0	3272347	1	0
0	3272799	1	0
0	3277037	1	0
0	3277903	1	1
0	3278483	1	0
0	3278969	1	0
0	3279446	1	0
0	3279485	1	0
0	3279508	1	0
0	3279540	1	0
0	3283750	1	1
0	3284743	1	0
0	3286155	1	0
0	3286418	1	0
0	3286775	1	0
0	3289188	1	0
0	3290019	1	0
0	3291884	1	0
0	3292970	1	0
0	3293000	1	0
0	3293745	1	0
0	3297526	1	0
0	3299175	1	0
0	3301006	1	2
0	3302166	1	0
0	3302713	1	0
0	3303031	1	0
0	3303906	1	0
0	3304222	1	0
0	3304782	1	0
0	3308313	1	0
0	3309452	1	0
0	3311440	1	0
0	3315657	1	0
0	3317869	1	0
0	3318207	1	0
0	3318239	1	0
0	3320288	1	0
0	3321439	1	0
0	3321659	1	0
0	3322444	1	0
0	3322460	1	0
0	3322685	1	0
0	3324678	1	0
0	3324730	1	0
0	3324738	1	0
0	3325009	1	0
0	3326370	1	2
0	3328892	1	0
0	3329702	1	0
0	3331403	1	0
0	3331514	1	0
0	3332212	1	0
0	3335538	1	0
0	3335556	1	0
0	3336243	1	0
0	3336896	1	0
0	3337512	1	0
0	3337604	1	0
0	3339066	1	0
0	3339730	1	0
0	3341182	1	0
0	3341573	1	0
0	3341639	1	0
0	3342158	1	0
0	3342738	1	0
0	3342739	1	0
0	3344823	1	0
0	3345146	1	0
0	3345151	1	0
0	3345222	1	0
0	3345274	1	0
0	3349957	1	0
0	3350017	1	0
0	3350092	1	0
0	3350135	1	0
0	3350152	1	0
0	3350175	1	0
0	3350289	1	0
0	3353835	1	0
0	3354326	1	0
0	3354459	1	0
0	3355001	1	0
0	3356868	1	0
0	3359437	1	0
0	3361254	1	0
0	3361489	1	0
0	3363604	1	0
0	3365251	1	0
0	3366268	1	0
0	3366320	1	0
0	3368213	1	0
0	3368234	1	0
0	3368748	1	0
0	3369124	1	0
0	3371495	1	0
0	3372017	1	0
0	3372444	1	0
0	3372793	1	0
0	3374026	1	2
0	3374118	1	0
0	3376110	1	0
0	3377034	1	0
0	3379594	1	0
0	3379934	1	0
0	3381486	1	0
0	3383882	1	0
0	3384631	1	0
0	3384935	1	0
0	3384962	1	0
0	3385591	1	0
0	3389326	1	0
0	3389777	1	0
0	3390076	1	0
0	3390214	1	0
0	3390428	1	0
0	3391591	1	0
0	3391847	1	0
0	3392319	1	0
0	3393121	1	0
0	3394108	1	0
0	3395894	1	0
0	3395991	1	0
0	3398654	1	0
0	3401739	1	0
0	3401823	1	0
0	3404028	1	0
0	3405237	1	0
0	3406271	1	2
0	3406274	1	2
0	3406277	1	2
0	3406278	1	0
0	3407748	1	0
0	3407757	1	0
0	3409612	1	0
0	3410720	1	0
0	3412048	1	0
0	3415156	1	0
0	3415873	1	0
0	3418924	1	0
0	3420577	1	0
0	3420614	1	0
0	3420620	1	0
0	3420628	1	2
0	3424780	1	0
0	3424789	1	0
0	3425036	1	0
0	3425127	1	0
0	3425231	1	0
0	3425864	1	0
0	3430051	1	0
0	3430116	1	0
0	3431067	1	0
0	3431085	1	0
0	3433013	1	0
0	3433655	1	2
0	3435926	1	0
0	3437195	1	0
0	3437434	1	0
0	3437809	1	0
0	3438046	1	0
0	3438861	1	0
0	3439985	1	0
0	3440507	1	0
0	3442737	1	0
0	3444002	1	2
0	3444313	1	0
0	3444340	1	0
0	3444903	1	0
0	3445101	1	0
0	3445160	1	0
0	3445208	1	0
0	3447323	1	0
0	3448402	1	0
0	3451760	1	0
0	3451823	1	0
0	3451906	1	0
0	3451907	1	0
0	3452136	1	0
0	3452187	1	0
0	3453494	1	0
0	3457672	1	0
0	3459383	1	0
0	3459714	1	0
0	3459800	1	0
0	3463068	1	0
0	3464656	1	0
0	3465868	1	1
0	3466823	1	0
0	3466843	1	0
0	3466900	1	0
0	3466905	1	0
0	3467797	1	0
0	3467955	1	0
0	3468117	1	0
0	3468421	1	0
0	3473309	1	0
0	3474137	1	0
0	3474255	1	0
0	3474786	1	0
0	3475522	1	0
0	3475897	1	0
0	3475996	1	0
0	3476012	1	0
0	3476015	1	0
0	3476194	1	0
0	3476345	1	0
0	3477102	1	0
0	3479868	1	0
0	3481628	1	0
0	3481681	1	1
0	3481704	1	0
0	3482330	1	0
0	3483059	1	0
0	3483324	1	0
0	3483331	1	0
0	3483730	1	0
0	3484629	1	0
0	3485102	1	0
0	3485358	1	0
0	3485486	1	0
0	3485663	1	0
0	3485910	1	0
0	3486788	1	0
0	3487241	1	0
0	3487309	1	0
0	3487367	1	0
0	3487958	1	0
0	3487959	1	0
0	3488028	1	0
0	3488993	1	0
0	3490454	1	2
0	3490471	1	0
0	3490750	1	0
0	3492401	1	0
0	3492660	1	0
0	3495043	1	0
0	3495044	1	0
0	3497224	1	0
0	3500179	1	0
0	3500507	1	0
0	3500825	1	0
0	3501674	1	0
0	3502875	1	0
0	3503954	1	0
0	3504423	1	0
0	3505433	1	0
0	3505499	1	0
0	3506246	1	0
0	3506467	1	0
0	3506834	1	0
0	3507551	1	0
0	3511937	1	0
0	3512883	1	0
0	3514348	1	0
0	3516242	1	0
0	3517529	1	0
0	3517558	1	0
0	3517578	1	0
0	3517709	1	0
0	3518078	1	0
0	3518170	1	0
0	3518712	1	0
0	3518713	1	0
0	3519027	1	0
0	3520181	1	0
0	3520824	1	0
0	3520826	1	0
0	3521326	1	0
0	3522376	1	0
0	3524489	1	0
0	3524703	1	0
0	3524738	1	0
0	3525639	1	0
0	3526875	1	0
0	3529224	1	0
0	3529253	1	0
0	3531001	1	0
0	3535731	1	0
0	3536576	1	0
0	3537266	1	0
0	3538055	1	0
0	3538615	1	0
0	3540644	1	0
0	3541161	1	0
0	3541613	1	0
0	3542201	1	0
0	3542485	1	0
0	3542889	1	0
0	3542892	1	0
0	3543720	1	0
0	3543976	1	0
0	3544747	1	0
0	3544907	1	0
0	3547027	1	0
0	3547923	1	0
0	3547948	1	0
0	3548129	1	0
0	3548379	1	0
0	3548615	1	0
0	3549770	1	0
0	3549773	1	0
0	3551419	1	0
0	3552963	1	0
0	3552977	1	0
0	3554220	1	0
0	3555423	1	0
0	3555588	1	0
0	3556772	1	0
0	3557000	1	0
0	3557580	1	0
0	3557637	1	0
0	3560387	1	0
0	3560790	1	0
0	3562210	1	0
0	3562516	1	0
0	3562608	1	0
0	3564848	1	0
0	3564938	1	0
0	3565957	1	0
0	3566934	1	0
0	3568719	1	0
0	3568883	1	0
0	3572147	1	0
0	3572372	1	0
0	3572682	1	0
0	3572695	1	0
0	3573168	1	0
0	3573180	1	0
0	3573361	1	0
0	3579727	1	0
0	3580936	1	0
0	3581600	1	0
0	3584493	1	0
0	3585487	1	0
0	3585751	1	0
0	3586460	1	0
0	3587909	1	0
0	3596579	1	0
0	3596660	1	0
0	3596758	1	0
0	3596759	1	0
0	3596862	1	0
0	3598346	1	0
0	3600137	1	0
0	3600315	1	0
0	3601021	1	0
0	3601453	1	0
0	3602188	1	0
0	3603122	1	0
0	3603620	1	0
0	3603681	1	0
0	3604226	1	0
0	3608039	1	0
0	1065010	2	0
0	1084363	2	0
0	1087510	2	1
0	1112595	2	1
0	1112598	2	0
0	1156954	2	0
0	1168906	2	2
0	1175897	2	1
0	1175902	2	0
0	1175916	2	1
0	1175924	2	1
0	1181820	2	0
0	1184050	2	0
0	1215528	2	1
0	1240959	2	1
0	1257451	2	0
0	1257604	2	1
0	1257651	2	0
0	126248	2	0
0	1276800	2	0
0	1276802	2	0
0	1277008	2	0
0	1277009	2	1
0	1277866	2	0
0	1297597	2	0
0	137228	2	1
0	137231	2	0
0	1379641	2	0
0	1386678	2	1
0	1413549	2	1
0	1414001	2	0
0	1414045	2	0
0	1420313	2	0
0	1448178	2	0
0	1464140	2	0
0	1464381	2	2
0	1469509	2	0
0	1469866	2	1
0	1475232	2	1
0	1481584	2	0
0	1501005	2	0
0	1501014	2	0
0	1513559	2	0
0	1526596	2	0
0	1540438	2	0
0	1550803	2	1
0	1550933	2	0
0	1550946	2	0
0	1566470	2	0
0	1568058	2	0
0	1568330	2	0
0	1568345	2	0
0	1568358	2	2
0	1568380	2	1
0	1569345	2	0
0	1578567	2	0
0	1609165	2	0
0	1634852	2	0
0	1637094	2	0
0	1647271	2	0
0	1661629	2	0
0	1697742	2	0
0	1751045	2	1
0	1751077	2	0
0	1781795	2	1
0	1784777	2	0
0	1784791	2	0
0	1796861	2	2
0	1820987	2	1
0	1821329	2	0
0	1832206	2	0
0	183865	2	1
0	1838823	2	0
0	1851004	2	2
0	1878501	2	0
0	1891275	2	2
0	1892149	2	0
0	1913172	2	0
0	1939852	2	1
0	1940287	2	0
0	1961632	2	0
0	1971640	2	0
0	1976318	2	0
0	1977305	2	0
0	1995607	2	0
0	2000906	2	0
0	2002419	2	1
0	2007501	2	0
0	2007657	2	0
0	2007755	2	0
0	2007941	2	0
0	2007972	2	0
0	2008231	2	0
0	2008397	2	0
0	2008538	2	0
0	2008694	2	0
0	2009435	2	0
0	2009859	2	0
0	2011516	2	0
0	2018704	2	1
0	2025113	2	0
0	2025296	2	1
0	2064919	2	0
0	2070907	2	0
0	2071005	2	0
0	2071076	2	0
0	2071147	2	0
0	2071193	2	0
0	2071267	2	0
0	2073769	2	0
0	2073904	2	0
0	2073963	2	0
0	2074167	2	0
0	2074182	2	0
0	2082036	2	1
0	2117003	2	0
0	2126331	2	0
0	2128214	2	1
0	2133536	2	2
0	2135574	2	0
0	2136485	2	2
0	2164964	2	0
0	2186330	2	0
0	2194711	2	0
0	2202333	2	1
0	2206392	2	2
0	2212832	2	0
0	2228007	2	0
0	2246210	2	0
0	2248239	2	0
0	2249599	2	0
0	2253540	2	1
0	2257948	2	0
0	2267184	2	0
0	2270846	2	0
0	2276236	2	0
0	2335107	2	0
0	2364663	2	1
0	2365966	2	1
0	2366074	2	0
0	2374600	2	0
0	2374623	2	0
0	2377328	2	0
0	2384520	2	0
0	2384718	2	1
0	2385654	2	1
0	2385751	2	1
0	2385823	2	1
0	2386861	2	1
0	2390549	2	1
0	2391256	2	0
0	2441605	2	0
0	2442953	2	0
0	2442985	2	0
0	2443005	2	0
0	2443077	2	0
0	2443086	2	0
0	2443761	2	0
0	2448050	2	1
0	2448996	2	0
0	2449163	2	0
0	2453150	2	0
0	2459199	2	0
0	2474644	2	1
0	2475360	2	0
0	2480298	2	0
0	2491651	2	0
0	2492864	2	2
0	2515635	2	1
0	2526389	2	0
0	2528209	2	0
0	2546376	2	1
0	2546434	2	1
0	2559831	2	1
0	2566980	2	1
0	2569011	2	0
0	2570503	2	0
0	2570830	2	2
0	2570908	2	2
0	2572606	2	0
0	2575602	2	2
0	2578943	2	2
0	2582242	2	0
0	2583042	2	1
0	2584008	2	0
0	2591236	2	0
0	2591616	2	0
0	2591620	2	2
0	2591627	2	0
0	2595300	2	0
0	2597729	2	0
0	2600143	2	0
0	2600388	2	1
0	2612653	2	0
0	2615032	2	0
0	2615269	2	0
0	2615296	2	0
0	2615299	2	0
0	2621130	2	1
0	2627182	2	0
0	2627222	2	0
0	2627819	2	0
0	2627963	2	1
0	2627999	2	0
0	2628177	2	0
0	2628934	2	0
0	2629011	2	0
0	2630042	2	0
0	2631718	2	0
0	2633196	2	0
0	2633199	2	0
0	2634609	2	0
0	2635375	2	0
0	2636786	2	1
0	2640128	2	0
0	2640266	2	0
0	2644295	2	2
0	2646129	2	0
0	2646742	2	0
0	2647170	2	1
0	2649850	2	0
0	2649856	2	0
0	2667260	2	0
0	2674586	2	0
0	2680832	2	2
0	2680861	2	0
0	2681119	2	2
0	2681469	2	0
0	2682795	2	0
